Signature,Time,Action,From,Amount,Value,Platform,Source
3PhV4VbGnTpPXwdtRr1hVMTuefeEAdgJmYjCK96Cd9bgEug2EgRiJBJuBUmNc4Kj5rjWA7AMNLXxghUzdVAT7U5g,2025-04-02 08:07:47,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,159385.96033269,15.945239,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, 2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c"
4TnCG21YfgKuzDXLR3HybvWieTPfUACrRDnWUt4c5BmdqcRjWqGH1Ndgda8zRbphc73WPbnPypsVRUoVgYpkKjTS,2025-04-02 08:03:17,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,159436.98016634,15.970559,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo"
Dc2fESveFqiiXZ474o6GkjhqAFh68Ds1Y43RHy9nKvkNohRRddd4gCGNjfZeuAqgAsHKAFn4JFpEd2PSrXXiLjK,2025-04-02 00:01:31,ACTIVITY_AGG_TOKEN_SWAP,Hywbta5UPkNLV5Be6zBEsnWCCv9Puvm1ir382PwePqYV,0.009915,1.23174045,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
5MuaWXzqbhbs62w1yAQSsHq4uNepziZdZgJQNMGgDSAz43T5d2W7gWnpxodXpjAdGGv9jL5VKwEAVqW2frx3ZyeD,2025-04-01 23:21:22,ACTIVITY_AGG_TOKEN_SWAP,AM7rXzpayFrExap8vySs4aQE72q2V5bg9Yye9gtXfU4h,22199.09197285,2.157144,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,"CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, 2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c"
3XxhBJosW1WEEHfYAMPxkuoApoft2HVmFAPoq1s9W2p4orTWv819eWu1dmwGxBmFubyXErEkN42TuUvbPQqW8MoV,2025-04-01 13:14:56,ACTIVITY_AGG_TOKEN_SWAP,B1NhkGSuMfynP9JkzuLMELM1rCjvkamakMX7bBNy6f7e,4.9575,4.9575,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,"SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y, CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK"
2RX5HMLpFzaFsEntXPq72dHJJCPQ8qehoBddFHvMuANnkwBqz6ofuLk7UzeAuJSzhpFjs9yREqUjbACgpbnF6UVP,2025-04-01 12:15:38,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,159436.98016634,15.948999,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
qFrFJsosn5SLcnJTrgQLb4kXsRwP9snqJkGKfHn6vKvyVPEdrf9dTqxoPRyrJAcFJPRu2cu56EbhcqYDxT1uGk8,2025-04-01 11:22:08,ACTIVITY_AGG_TOKEN_SWAP,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,800000.0,81.288759,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, 2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c, obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y"
4dM9nYHx6EM4eYtR3giWsMzur79dCV7vuFETtBxEF3qcUUShGTUpxs4nmytoHbnpK64Yn3ZDcsQTCL298zuFyuNW,2025-04-01 11:22:00,ACTIVITY_AGG_TOKEN_SWAP,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,800000.0,85.586996,"j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X, JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4","CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK, SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe"
JGDjKP8VzizQVKNsQ7NxPQs4JJX8uv7gr8brcrSb1a1quYZpXBGUWi9pXwkG61mcFD2PkcDxLMPdhRFegvGB2EC,2025-04-01 10:54:47,ACTIVITY_TOKEN_ADD_LIQ,9NZk17WEsbaYwH16gxKYKkkubUZdkkvSW5LHvoHUCc54,9.970847903,2527.144769324528,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
65kjBQgRVsjL91Ee62PAbYFtGkGZUe6LyXeBnWi8fRqqztPH3f6LKvhR6cEgyXfhJwZzg888NZKDSg3NmciWoKhN,2025-03-31 21:04:58,ACTIVITY_TOKEN_SWAP,A32QKjoc58G3dUZfzuodx6vLEb9NVGXya8iMvhDu1u4m,0.0126,1.585836,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
29jXBJTWjqngKFQCbUNj19n1Se28Pv89WDH1ApTB5rmGU7x9LeY5jS1UJroc6drTUwfz3acTQgeijwfsZqvj3x6a,2025-03-31 21:00:42,ACTIVITY_TOKEN_SWAP,A32QKjoc58G3dUZfzuodx6vLEb9NVGXya8iMvhDu1u4m,0.03601082,4.5323218052000005,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
26cnSadmD2N4gMWUGndpbfj4fAYDBX9NCKKvoV37QNKphVfa4LjTBCeNy25sbkNSTtSQhVwcqYUZV9mBR8D8zsnt,2025-03-31 17:28:31,ACTIVITY_TOKEN_SWAP,5SnbgCdaFgTvMvuMGhUxiVZJQETW3dGotaqMKszNnPJ4,0.45,56.1555,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2V71yMQdB6vbcrQ6YzpH29BvJLtJJqRt6C4S3ffEjf1aL5Td7jBEyDomgF1FJzWWv7g42H2i88bZS8wkuT9pHn4K,2025-03-31 06:28:57,ACTIVITY_TOKEN_SWAP,CfnynvpWT47ueSn9zT7L4FWxWTM1J8SXeYTeDtyFMqbU,0.004895176,0.61444249152,DF1ow3DqMj3HvTj8i8J9yM2hE9hCrLLXpdbaKZu4ZPnz,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
2Uo533URXgksQJ3ftm89dwvn4mAMzpEuqGVi83dZQ4Swzja8mULXuT8ZqW3sDEdJ7yg1nRxpY8CyUfxWVh7991GT,2025-03-31 04:06:39,ACTIVITY_TOKEN_SWAP,8oGBzCczSPeZZdcxsQR6QhwYHJ4KkFdBvdE2TVzkpErM,0.01,1.2463,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK
